Distanceum,GrayValue
0.0000,198.000
0.2257,201.160
0.4515,190.109
0.6772,187.339
0.9029,174.039
1.1287,201.786
1.3544,205.704
1.5801,199.140
1.8059,195.897
2.0316,189.701
2.2573,177.493
2.4831,190.794
2.7088,195.436
2.9345,211.793
3.1603,179.931
3.3860,194.133
3.6117,202.122
3.8375,186.017
4.0632,180.104
4.2889,204.799
4.5147,203.540
4.7404,174.251
4.9661,186.580
5.1919,189.464
5.4176,197.416
5.6433,206.397
5.8691,206.058
6.0948,194.362
6.3205,209.615
6.5463,191.610
6.7720,191.605
6.9977,197.630
7.2235,188.553
7.4492,189.186
7.6749,192.499
7.9007,199.047
8.1264,195.058
8.3521,198.116
8.5779,198.234
8.8036,202.740
9.0293,194.684
9.2551,197.156
9.4808,198.389
9.7065,200.309
9.9323,213.272
10.1580,193.763
10.3837,184.054
10.6095,198.414
10.8352,190.894
11.0609,184.321
11.2867,203.836
11.5124,213.404
11.7381,200.133
11.9639,191.323
12.1896,208.229
12.4153,213.800
12.6411,207.904
12.8668,205.236
13.0926,198.519
13.3183,208.814
13.5440,213.202
13.7698,213.406
13.9955,199.291
14.2212,198.231
14.4470,212.448
14.6727,212.419
14.8984,214.649
15.1242,244.124
15.3499,263.173
15.5756,263.076
15.8014,266.165
16.0271,259.903
16.2528,313.127
16.4786,392.195
16.7043,488.227
16.9300,646.302
17.1558,830.060
17.3815,1074.693
17.6072,1501.173
17.8330,2010.549
18.0587,2929.005
18.2844,4394.632
18.5102,4786.812
18.7359,4080.695
18.9616,2548.778
19.1874,1447.094
19.4131,909.090
19.6388,651.908
19.8646,562.323
20.0903,489.773
20.3160,393.899
20.5418,321.426
20.7675,285.031
20.9932,289.459
21.2190,259.107
21.4447,261.020
21.6704,257.348
21.8962,218.199
22.1219,215.711
22.3476,205.105
22.5734,239.688
22.7991,228.056
23.0248,229.918
23.2506,222.933
23.4763,223.078
23.7020,230.385
23.9278,225.981
24.1535,214.812
24.3792,225.132
24.6050,220.762
24.8307,215.060
25.0564,216.391
25.2822,222.767
25.5079,224.940
25.7336,216.197
25.9594,232.371
26.1851,230.957
26.4108,222.174
26.6366,229.848
26.8623,221.417
27.0880,222.736
27.3138,233.747
27.5395,214.643
27.7652,208.906
27.9910,204.502
28.2167,213.685
28.4424,212.738
28.6682,197.237
28.8939,223.035
29.1196,227.276
29.3454,215.268
29.5711,212.330
29.7968,213.112
30.0226,214.734
30.2483,212.778
30.4740,219.850
30.6998,219.815
30.9255,210.510
31.1512,211.751
31.3770,221.534
31.6027,216.055
31.8284,218.900
32.0542,213.561
32.2799,221.836
32.5056,223.026
32.7314,209.744
32.9571,214.078
33.1828,219.105
33.4086,214.836
33.6343,222.078
33.8600,214.734
34.0858,224.829
34.3115,217.410
34.5372,193.930
34.7630,222.245
34.9887,222.099
35.2144,212.547
35.4402,229.682
35.6659,220.013
35.8916,224.350
36.1174,222.090
36.3431,224.663
36.5688,227.317
36.7946,209.127
37.0203,222.500
